Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Hyundai,Verna,Sedan,Other Color,2009,Benzine,100000 to 119999,1600 CC,Manual,95.0,Ismailia,0
Fiat,Shahin,Sedan,White,1996,Benzine,10000 to 19999,1400 - 1500 CC,Manual,40.0,Qalyubia,0
Chevrolet,Optra,Sedan,Gray,2018,Benzine,140000 to 159999,1600 CC,Automatic,189.8,Fayoum,1
Chevrolet,Lanos,Sedan,Other Color,2010,Benzine,More than 200000,1400 - 1500 CC,Manual,77.0,Cairo,0
Chevrolet,Cruze,Sedan,Other Color,2015,Benzine,120000 to 139999,1600 CC,Automatic,170.0,Alexandria,1
Hyundai,Verna,Sedan,Gray,2018,Benzine,90000 to 99999,1600 CC,Manual,163.3,Minya,1
Hyundai,Matrix,Hatchback,Silver,2005,Benzine,More than 200000,1600 CC,Manual,155.2,Cairo,1
Hyundai,Avante,Sedan,White,2016,Benzine,70000 to 79999,1600 CC,Automatic,224.2,Sharqia,2
Hyundai,I10,Hatchback,Gold,2008,Benzine,50000 to 59999,1000 - 1300 CC,Manual,107.0,Alexandria,1
Fiat,Shahin,Sedan,Silver,2009,Benzine,More than 200000,1400 - 1500 CC,Manual,78.2,Red Sea,0
Chevrolet,Optra,Sedan,Silver,2009,Benzine,More than 200000,1600 CC,Automatic,143.8,Fayoum,1
Hyundai,Verna,Sedan,White,2014,Benzine,More than 200000,1600 CC,Manual,79.3,Cairo,0
Hyundai,Elantra,Sedan,Silver,2015,Benzine,60000 to 69999,1600 CC,Automatic,180.0,Qalyubia,1
Fiat,128,Sedan,Blue- Navy Blue,1979,Benzine,180000 to 199999,1000 - 1300 CC,Manual,34.5,Cairo,0
