Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Chevrolet,Lanos,Sedan,White,2013,Natural Gas,More than 200000,1600 CC,Manual,97.8,Giza,0
Hyundai,Verna,Sedan,White,2019,Natural Gas,0 to 9999,1400 - 1500 CC,Manual,143.8,Cairo,1
Chevrolet,Cruze,Sedan,Gray,2014,Benzine,100000 to 119999,1600 CC,Automatic,172.5,Giza,1
Hyundai,Avante,Sedan,Black,2010,Benzine,10000 to 19999,1600 CC,Automatic,210.4,Sharqia,2
Fiat,128,Sedan,White,2001,Benzine,160000 to 179999,1000 - 1300 CC,Manual,33.4,Giza,0
Hyundai,I10,Hatchback,Gold,2013,Benzine,100000 to 119999,1000 - 1300 CC,Manual,120.8,Alexandria,1
Fiat,128,Sedan,White,1983,Benzine,160000 to 179999,1000 - 1300 CC,Manual,20.0,Dakahlia,0
Hyundai,Elantra,Sedan,Gray,2018,Benzine,50000 to 59999,1600 CC,Automatic,391.0,Giza,3
Hyundai,Verna,Sedan,Silver,2016,Benzine,180000 to 199999,1600 CC,Manual,132.2,Monufia,1
Chevrolet,Lanos,Sedan,White,2010,Natural Gas,0 to 9999,1400 - 1500 CC,Manual,78.0,Qalyubia,0
Hyundai,Accent,Sedan,Silver,1999,Benzine,20000 to 29999,1000 - 1300 CC,Manual,70.0,Damietta,0
Fiat,128,Sedan,White,1986,Benzine,60000 to 69999,1000 - 1300 CC,Manual,27.0,Ismailia,0
Hyundai,Elantra,Sedan,Gray,2018,Benzine,140000 to 159999,1600 CC,Automatic,362.2,Gharbia,3
Fiat,128,Sedan,Burgundy,1977,Benzine,More than 200000,1000 - 1300 CC,Manual,26.4,Cairo,0
Chevrolet,Optra,Sedan,Black,2019,Benzine,80000 to 89999,1400 - 1500 CC,Automatic,195.5,Qalyubia,1
Hyundai,Verna,Sedan,White,2009,Natural Gas,40000 to 49999,1600 CC,Manual,80.0,Giza,0
Hyundai,Elantra,Sedan,Gray,2020,Benzine,30000 to 39999,1600 CC,Automatic,385.2,Cairo,3
Fiat,Shahin,Sedan,Red,1996,Benzine,90000 to 99999,1400 - 1500 CC,Manual,38.5,Cairo,0
Fiat,128,Sedan,White,1983,Benzine,80000 to 89999,1000 - 1300 CC,Manual,25.0,Cairo,0
Hyundai,Avante,Sedan,Gold,2001,Benzine,160000 to 179999,1600 CC,Automatic,120.0,Giza,1
